Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PSB^X,"PS Business Parks, Inc.",25.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^x
PSB^Y,"PS Business Parks, Inc.",25.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^y
TLK,"PT Telekomunikasi Indonesia, Tbk",28.78,$28.51B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tlk
PEG,Public Service Enterprise Group Incorporated,55.63,$28.13B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/peg
PSA,Public Storage,245.75,$42.91B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa
PSA^A,Public Storage,26.2056,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^a
PSA^B,Public Storage,26.26,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^b
PSA^C,Public Storage,26.02,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^c
PSA^D,Public Storage,25.41,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^d
PSA^E,Public Storage,25.2314,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^e
PSA^F,Public Storage,25.85,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^f
PSA^G,Public Storage,25.66,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^g
PSA^H,Public Storage,26.95,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^h
